line_number,key,task,representation,kg,graph_id,prompt_type,temperature,temperature_label,cq_index,cq_complexity,endpoint,competency_question,sparql_query,syntax_ok,syntax_message,satisfiable,satisfiable_message,deterministic,deterministic_message,all_checks_passed,rows,variables,result_message,_line_number
1,sparql-nen-core_scholar_rich-0_shot-temp1.0-Which authors have advisors and also submitted publications by each field?,sparql,nen,core_scholar_rich,core_scholar_rich,0_shot,1.0,temp1.0,14,complex,<FUSEKI_SERVER>/core_scholar_rich/sparql,Which authors have advisors and also submitted publications by each field?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>

SELECT ?author ?field (GROUP_CONCAT(DISTINCT ?publication; separator="", "") AS ?publications)
WHERE {
  ?author coresr-ont:advisedBy ?advisor .
  ?publication coresr-ont:submittedBy ?author .
  ?publication coresr-ont:associatedFieldOfStudy ?field .
}
GROUP BY ?author ?field
ORDER BY ?author ?field",True,OK,True,OK,True,OK,True,10,"[""author"", ""field"", ""publications""]",OK,1
2,sparql-nen-core_scholar_shallow-0_shot-temp1.0-What are all available authors?,sparql,nen,core_scholar_shallow,core_scholar_shallow,0_shot,1.0,temp1.0,1,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available authors?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?author
WHERE {
  ?author coress-ont:performsRole ?role .
  ?role rdf:type coress-ont:Author .
}",True,OK,False,OK,True,OK,False,0,"[""author""]",OK,2
3,sparql-axiom-core_scholar_rich-cot-temp0.0-What are all available departments?,sparql,axiom,core_scholar_rich,core_scholar_rich,cot,0.0,temp0.0,3,simple,<FUSEKI_SERVER>/core_scholar_rich/sparql,What are all available departments?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?department
WHERE {
  ?department rdf:type coresr-ont:Department .
}",True,OK,True,OK,True,OK,True,20,"[""department""]",OK,3
4,sparql-nen-kwg-0_shot-temp1.0-What are all the damage details available done by storm-specific hazards that are related to a geographical place within a certain temporal extent?,sparql,nen,kwg,kwg,0_shot,1.0,temp1.0,15,complex,<FUSEKI_SERVER>/kwg/sparql,What are all the damage details available done by storm-specific hazards that are related to a geographical place within a certain temporal extent?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX time: <http://www.w3.org/2006/time#>
PREFIX geo: <http://www.opengis.net/ont/geosparql#>
PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX kwgr: <http://stko-kwg.geog.ucsb.edu/lod/resource/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT DISTINCT ?damage_property ?damage_value ?hazard ?hazard_type ?place_geometry ?startTime ?endTime
WHERE {
  BIND(""2020-01-01T00:00:00Z""^^xsd:dateTime AS ?queryStartTime)
  BIND(""2020-12-31T23:59:59Z""^^xsd:dateTime AS ?queryEndTime)

  ?damage_obs sosa:hasFeatureOfInterest ?hazard ;
              sosa:observedProperty ?damage_property ;
              sosa:hasSimpleResult ?damage_value .
  
  ?damage_property rdfs:subClassOf* kwg-ont:ImpactObservableProperty .
  FILTER(regex(str(?damage_property), ""damage"", ""i""))

  ?hazard a ?hazard_type ;
          geo:hasGeometry ?place_geometry ;
          kwg-ont:hasTemporalScope ?temporal_entity .
  ?hazard_type rdfs:subClassOf* kwg-ont:NOAAHazardEvent .
  FILTER(regex(str(?hazard_type), ""Storm|Tornado|Hurricane|Blizzard|Thunderstorm|Typhoon|Wind|Hail"", ""i""))

  OPTIONAL { ?temporal_entity time:inXSDDateTime ?instantTime . }
  OPTIONAL { ?temporal_entity time:hasBeginning/time:inXSDDateTime ?intervalStart . }
  OPTIONAL { ?temporal_entity time:hasEnd/time:inXSDDateTime ?intervalEnd . }

  BIND(COALESCE(?intervalStart, ?instantTime) AS ?startTime)
  BIND(COALESCE(?intervalEnd, ?instantTime) AS ?endTime)

  FILTER(?startTime <= ?queryEndTime && ?endTime >= ?queryStartTime)
}
ORDER BY ?startTime",True,OK,False,OK,True,OK,False,0,"[""damage_property"", ""damage_value"", ""hazard"", ""hazard_type"", ""place_geometry"", ""startTime"", ""endTime""]",OK,4
5,sparql-axiom-kwg_lite-0_shot-temp1.0-What are all the available tornado-specific hazard attributes related to all geographical places and how many are there?,sparql,axiom,kwg_lite,kwg_lite,0_shot,1.0,temp1.0,6,moderate,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available tornado-specific hazard attributes related to all geographical places and how many are there?,"PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?tornadoAttribute
WHERE {
  ?place a kwgl-ont:Place .
  ?place ?tornadoAttribute ?value .
  FILTER(CONTAINS(LCASE(STR(?tornadoAttribute)), ""tornado""))
}",True,OK,True,OK,True,OK,True,12,"[""tornadoAttribute""]",OK,5
6,sparql-axiom-core_scholar_shallow-0_shot-temp1.0-What are all available publications and their submission dates?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,0_shot,1.0,temp1.0,4,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available publications and their submission dates?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?publication ?submissionDate
WHERE {
  ?publication a coress-ont:Publication ;
               coress-ont:dateOfSubmission ?submissionDate .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""submissionDate""]",OK,6
7,sparql-ttl-core_scholar_rich-cot-temp1.0-Which departments have the highest number of agents missing family name information?,sparql,ttl,core_scholar_rich,core_scholar_rich,cot,1.0,temp1.0,15,complex,<FUSEKI_SERVER>/core_scholar_rich/sparql,Which departments have the highest number of agents missing family name information?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?department ?missingFamilyNameCount
WHERE {
  {
    SELECT (MAX(?count) as ?maxCount)
    WHERE {
      SELECT (COUNT(?agent) as ?count)
      WHERE {
        ?department rdf:type coresr-ont:Department .
        ?department coresr-ont:hasAssociatedAgent ?agent .
        FILTER NOT EXISTS {
          ?agent coresr-ont:hasContactInformation ?contactInfo .
          ?contactInfo rdf:type coresr-ont:FamilyName .
        }
      }
      GROUP BY ?department
    }
  }
  {
    SELECT ?department (COUNT(?agent) AS ?missingFamilyNameCount)
    WHERE {
      ?department rdf:type coresr-ont:Department .
      ?department coresr-ont:hasAssociatedAgent ?agent .
      FILTER NOT EXISTS {
        ?agent coresr-ont:hasContactInformation ?contactInfo .
        ?contactInfo rdf:type coresr-ont:FamilyName .
      }
    }
    GROUP BY ?department
  }
  FILTER(?missingFamilyNameCount = ?maxCount)
}",True,OK,True,OK,True,OK,True,10,"[""department"", ""missingFamilyNameCount""]",OK,7
8,sparql-nen-core_scholar_shallow-cot-temp1.0-What are all available publications and their submission dates?,sparql,nen,core_scholar_shallow,core_scholar_shallow,cot,1.0,temp1.0,4,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available publications and their submission dates?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?publication ?submissionDate
WHERE {
  ?publication a coress-ont:Publication .
  ?publication coress-ont:dateOfSubmission ?submissionDate .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""submissionDate""]",OK,8
9,sparql-ttl-core_scholar_shallow-0_shot-temp0.0-What publication types have the longest average time between submission and publication?,sparql,ttl,core_scholar_shallow,core_scholar_shallow,0_shot,0.0,temp0.0,13,complex,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What publication types have the longest average time between submission and publication?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT ?publicationType (AVG(?publicationDate - ?submissionDate) AS ?avgDuration)
WHERE {
  ?publication a coress-ont:Publication ;
               coress-ont:hasPublicationType ?publicationType ;
               coress-ont:dateOfSubmission ?submissionDate ;
               coress-ont:dateOfPublication ?publicationDate .
}
GROUP BY ?publicationType
ORDER BY DESC(?avgDuration)
LIMIT 1",True,OK,True,OK,True,OK,True,1,"[""publicationType"", ""avgDuration""]",OK,9
10,sparql-axiom-kwg_lite-cot-temp0.0-What are all the available earthquake hazards and how many are there?,sparql,axiom,kwg_lite,kwg_lite,cot,0.0,temp0.0,5,simple,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available earthquake hazards and how many are there?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT (GROUP_CONCAT(DISTINCT ?hazard; separator="" | "") AS ?hazards) (COUNT(DISTINCT ?hazard) AS ?count)
WHERE {
  ?hazard rdf:type owl:DatatypeProperty .
  FILTER(CONTAINS(LCASE(STR(?hazard)), ""earthquake""))
}",True,OK,True,OK,True,OK,True,1,"[""hazards"", ""count""]",OK,10
